번호,등급,속성,슬롯 최대 수,스킬명,설명,기본 연출,값1,값2,값3,값4,스킬 생성 위치,스킬 타겟,타입1,타입2,유도,발동중 조작,투사체 관통,슬롯,슬롯,슬롯,슬롯,슬롯,슬롯,슬롯,슬롯,슬롯,비고,레퍼런스 링크,레퍼런스 설명,,,,,,,,
10301,영웅,무,3,무형검,검을 휘둘러 주변의 적 {0}명에게 공격력 {1}%의 무속성 피해를 입힌다.,"올려치기로 검을 휘두르는데, 무형의 검기가 각 적들마다 이팩트로 생성되어 아래에서 위로 베는 연출",,,,,주인공,주인공 주변,범위,,,시전 후 가능,,속성룬,수량,피해 증가,크기,디버프 : 출혈,디버프 : 슬로우,에어본,당기기,쿨타임 감소,,https://youtu.be/WmSvuAXYEek?si=LCcFnu6IDdUUvwwR&t=779,스킬 전반적인 연출,,,,,,,,
10302,영웅,화,3,프레임 서클,회전하는 불길로 범위의 적들에게 공격력 {0}%의 화속성 피해를 입힌다.,,,,,,주인공,주인공 정면,지속 투사체,,,불가,,피해 증가,크기,디버프 : 화상,유도,쿨타임 감소,당기기,,,,,https://youtu.be/kLtgvlA9S-I?si=DRzcWHIiI_G-KTOx,스킬 이펙트,,,,,,,,
10303,영웅,수,3,블리자드,{0}초간 눈보라를 생성하여 0.5초마다 공격력 {1}%의 수속성 피해를 입힌다.,,,,,,주인공,가까운 적,지속 범위,,,시전 후 가능,,지속 시간,피해 증가,크기,디버프 : 슬로우,디버프 : 동결,쿨타임 감소,,,,,https://youtu.be/eqWRySSDzJc?si=fLiieTBwyexitl28&t=1257,눈보라 넓은 범위,,,,,,,,
10304,영웅,풍,3,토네이도,{0}초간 회오리를 생성하여 0.5초마다 공격력 {1}%의 풍속성 피해를 입힌다.,,,,,,주인공,가까운 적,지속 투사체,,,시전 후 가능,,지속 시간,피해 증가,크기,디버프 : 출혈,에어본,당기기,쿨타임 감소,크기,,,https://youtu.be/3VUZn4wc2qI?si=bvQLX0wqXkY6R--N&t=547,이펙트 풍속성 색상으로,,,,,,,,
10305,영웅,광,3,심판의 십자가,"거대한 십자가로 내리쳐, 공격력 {0}%의 광속성 피해를 입힌다.",무기가 성스러운 거대 십자가로 변경되면서 내리 치는 공격,,,,,주인공,주인공 정면,범위,,,불가,,피해 증가,크기,흡혈,에어본,당기기,쿨타임 감소,버프 : 가한 피해 증가,버프 : 받는 피해 감소,,,https://youtu.be/3HA6WlGrNwA?si=b2XRHrUvrCkda3pM&t=90,,,,,,,,,
10306,영웅,암,3,죽음의 낫,죽음의 낫 {0}개를 소환하여 공격력 {1}%의 암속성 피해를 입힌다.,"주인공 주변에 검은 색 낫들이 소환되어, 적들을 자동으로 공격한 후 사라진다.","그림자 부대랑 같은데 
그냥 칼날만 만들면될듯","맞습니다~ , 단지 등급에 맞게 조금 화려해도 될듯 ? 각 등급에 맞게 연출하면 될거같아요",,,주인공,랜덤 적,투사체,,,시전 후 가능,,피해 증가,흡혈,수량,디버프 : 출혈,디버프 : 중독,디버프 : 마비,디버프 : 슬로우,쿨타임 감소,,,https://youtu.be/WmSvuAXYEek?si=pxDuaWX45Ma9Pgvn&t=216,낫이 공격,,,,,,,,
10401,전설,무,3,신검합일,검과 하나가 되어 주변의 적을 {0}회 베어 공격력 {1}%의 무속성 피해를 입힌다.,,,,,,주인공,랜덤 적,고정 타겟팅,전장 이탈,,불가,,속성룬,수량,피해 증가,디버프 : 출혈,디버프 : 마비,디버프 : 슬로우,디버프 : 스턴,쿨타임 감소,,,https://youtu.be/3VUZn4wc2qI?si=hRIhNMGB-XXVEMqP&t=162,발이 아닌 검으로 공격하는 것으로 변경,,,,,,,,
10402,전설,화,3,메테오,메테오를 떨어뜨려 공격력 {1}%의 화속성 피해를 입힌다.,,,,,,주인공,랜덤 적,범위,,,시전 후 가능,,확산,피해 증가,크기,에어본,디버프 : 화상,디버프 : 스턴,쿨타임 감소,,,,,,,,,,,,,
10403,전설,수,3,아이스 필드,{0}초간 아이스 필드를 생성하여 0.5초마다 공격력 {1}%의 수속성 피해를 입힌다.,거의 전체 범위 급으로 점점 키움,,,,,주인공,주인공 주변,지속 범위,,,시전 후 가능,,지속 시간,피해 증가,크기,디버프 : 슬로우,디버프 : 동결,쿨타임 감소,,,,,https://youtu.be/kLtgvlA9S-I?si=TKmjr8cYWSiX148e&t=297,,,,,,,,,
10404,전설,풍,3,라이트닝 스톰,번개 회오리로 공격력 {0}%x5의 다단히트로 풍속성 피해를 입힌다.,,,,,,주인공,주인공 정면,지속 범위,전장 이탈,,불가,,피해 증가,크기,디버프 : 출혈,디버프 : 마비,당기기,쿨타임 감소,,,,,https://youtu.be/kLtgvlA9S-I?si=aVisHspkjY1NXzlS&t=645,,,,,,,,,
10405,전설,광,3,디바인 리어,"모든 디버프를 해제하고, 공격력 {0}% 회복 후 {1}초간 피해 및 디버프 면역이 된다.
수량 +1 이상일 경우
아군 수량만큼 추가",,,,,,주인공,아군,버프,,,시전 후 가능,,수량,재생,버프 : 공격력 강화,버프 : 방어력 강화,버프 : 가한 피해 증가,버프 : 받는 피해 감소,쿨타임 감소,,,,,,,,,,,,,
10406,전설,암,3,블랙홀,{0}초간 블랙홀을 생성하여 0.5초마다 공격력 {1}%의 암속성 피해를 입힌다.,,,,,,주인공,주인공 정면,지속 범위,,,시전 후 가능,,지속 시간,피해 증가,크기,당기기,디버프 : 슬로우,디버프 : 중독,쿨타임 감소,,,,,,,,,,,,,
10501,신화,무,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10502,신화,화,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10503,신화,수,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10504,신화,풍,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10505,신화,광,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10506,신화,암,3,사신의 소환,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10507,신화,무,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10508,신화,화,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10509,신화,수,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10510,신화,풍,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10511,신화,광,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10512,신화,암,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
